Date;Name;Genre
27 Jun 2024;Broke Protocol;Action
27 Jun 2024;Stray Gods: Orpheus;Adventure
25 Jun 2024;Beyond Good & Evil: 20th Anniversary Edition;Adventure
25 Jun 2024;Riven;Adventure
25 Jun 2024;Strategic Command WWII: War in the Pacific;Strategy
25 Jun 2024;Until Then;Adventure
24 Jun 2024;Victoria 3: Sphere of Influence;Strategy
21 Jun 2024;Dystopika;Sim
21 Jun 2024;Pet Shop Simulator;Sim
21 Jun 2024;Tarisland;RPG
20 Jun 2024;ASKA;Action
20 Jun 2024;City Transport Simulator: Tram;Sim
20 Jun 2024;Drug Dealer Simulator 2;Sim
20 Jun 2024;Elden Ring: Shadow of the Erdtree;RPG
20 Jun 2024;Scars of Mars;RPG
20 Jun 2024;Workers & Resources: Soviet Republic;Strategy
20 Jun 2024;X4: Timelines;Sim
19 Jun 2024;Chained Together;Action
19 Jun 2024;Echo Generation;RPG
19 Jun 2024;First Dwarf;RPG
19 Jun 2024;Goat Simulator 3: Multiverse of Nonsense;Action
19 Jun 2024;Republic of Pirates;Strategy
19 Jun 2024;Sandwalkers;RPG
18 Jun 2024;#BLUD;Action
18 Jun 2024;Age of Wonders 4: Eldritch Realms;Strategy
18 Jun 2024;Chocolate Factory;Sim
18 Jun 2024;Crime Boss: Rockay City;Action
18 Jun 2024;Go-Go Town!;Sim
18 Jun 2024;Metal Slug Attack Reloaded;Action
18 Jun 2024;Pax Dei;RPG
18 Jun 2024;Starship Troopers: Terran Command - Urban Onslaught;Strategy
18 Jun 2024;Still Wakes the Deep;Adventure
18 Jun 2024;Tropico 6: Tropican Shores;Strategy
18 Jun 2024;Warhammer 40,000: Boltgun - Forges of Corruption;Action
17 Jun 2024;Avatar: Frontiers of Pandora;Action
17 Jun 2024;Blade and Sorcery;Action
17 Jun 2024;El Dorado: The Golden City Builder;Strategy
17 Jun 2024;Police Simulator: Patrol Officers - Highway Patrol Expansion;Sim
14 Jun 2024;Fallen Aces;Action
